command	category	risk	mutates	dependencies	description
v.sh	dispatcher	read-only	no	bash,find,sort,sed	Dispatcher for all companion v*.sh scripts.
vdoctor.sh	maintenance	read-only	no	bash,git,find,sort,awk,sed	Self-check companion script inventory, permissions, docs, syntax, and safety markers.
vmanifest.sh	maintenance	read-only	no	bash,awk,column	Print the companion script manifest.
vrepo-root.sh	workspace	read-only	no	bash,git	Print the git repo root.
vgit-status.sh	workspace	read-only	no	bash,git	Git status plus diff summary.
vchanged-files.sh	workspace	read-only	no	bash,git	Show changed files.
vtracked-files.sh	workspace	read-only	no	bash,git	List tracked files.
vuntracked-files.sh	workspace	read-only	no	bash,git	List untracked files.
vignored-files.sh	workspace	read-only	no	bash,git	List ignored files.
vbranch-info.sh	workspace	read-only	no	bash,git	Current branch and upstream.
vbranch-drift.sh	workspace	read-only	no	bash,git	Ahead/behind counts.
vbranches-recent.sh	workspace	read-only	no	bash,git,head	Branches sorted by recent commit time.
vremotes.sh	workspace	read-only	no	bash,git	Show git remotes.
vmerges.sh	workspace	read-only	no	bash,git	Recent merge commits.
vrepo-stats.sh	workspace	read-only	no	bash,git,wc	Quick repo stats.
vcommit-info.sh	workspace	read-only	no	bash,git	Latest commit details.
vdiff-summary.sh	workspace	read-only	no	bash,git	Concise diff summary for a path.
vtop-files.sh	workspace	read-only	no	bash,find,sort,head	Largest files in the workspace.
vfilesize.sh	workspace	read-only	no	bash,find,sort,head	Readable size summary of files.
vtree.sh	workspace	read-only	no	bash,find,sed,head	Compact tree view of the workspace.
vrecent.sh	workspace	read-only	no	bash,git	Compact recent commit summary.
vrecent-commits.sh	workspace	read-only	no	bash,git	Recent commits with decoration.
vsnapshot.sh	workspace	read-only	no	bash,git,find	Quick workspace snapshot.
vcontext-pack.sh	workspace	read-only	no	bash,rg|grep	Gather files related to a pattern.
vgrep.sh	workspace	read-only	no	bash,rg|grep	Search with context.
vnotes.sh	workspace	read-only	no	bash,rg|grep	Find TODO/FIXME/BUG/HACK notes.
ventrypoints.sh	workspace	read-only	no	bash,find	Locate likely build/entry files.
vmarkdown-files.sh	workspace	read-only	no	bash,find	List markdown files.
vsource-files.sh	workspace	read-only	no	bash,find	List source files by common extensions.
vshell-files.sh	workspace	read-only	no	bash,find	List shell scripts.
vtest.sh	workspace	runs-tests	yes	bash,npm|cargo|pytest|python	Run a sensible test command for the repo type.
venv-snapshot.sh	workspace	redacted-output	no	bash	Print non-secret environment essentials.
vrepo-map.sh	workspace	writes-generated-artifacts	yes	bash,python3	Build a compact repo map and per-file symbol index.
vruns.sh	runs	read-only	no	bash,find,sort	List .vegvisir/runs newest first.
vrun-latest.sh	runs	read-only	no	bash,find,sort,awk	Newest run directory.
